question,answer,score
"If you do track, how many calories do you typically consume per day?","1,000-1,500",5
"If you do track, how many calories do you typically consume per day?","1,500-2,000",8
"If you do track, how many calories do you typically consume per day?","2,000-2,500",10
"If you do track, how many calories do you typically consume per day?","2,500-3,000",7
"If you do track, how many calories do you typically consume per day?",">3,000",5
How often do you engage in physical exercise?,Rarely,0
How often do you engage in physical exercise?,Occasionally (1–2 times per week),4
How often do you engage in physical exercise?,Regularly (3–4 times per week),7
How often do you engage in physical exercise?,Frequently (5 or more times per week),10
How many steps do you typically take per day?,"Less than 2,500",0
How many steps do you typically take per day?,"2,500–5,000",3
How many steps do you typically take per day?,"5,000–7,500",5
How many steps do you typically take per day?,"7,500–10,000",7
How many steps do you typically take per day?,"10,000–15,000",9
How many steps do you typically take per day?,"More than 15,000",10
How many steps do you typically take per day?,I'm not sure,2
How would you rate the quality of your sleep?,Poor,2
How would you rate the quality of your sleep?,Fair,4
How would you rate the quality of your sleep?,Good,7
How would you rate the quality of your sleep?,Very Good,9
How would you rate the quality of your sleep?,Excellent,10
How many hours of sleep do you typically get per night?,4 hours or less,1
How many hours of sleep do you typically get per night?,5 hours,3
How many hours of sleep do you typically get per night?,6 hours,6
How many hours of sleep do you typically get per night?,7 hours,8
How many hours of sleep do you typically get per night?,8 hours,10
How many hours of sleep do you typically get per night?,9 hours,9
How many hours of sleep do you typically get per night?,More than 9 hours,7
How often do you feel rested and refreshed upon waking up?,Never,0
How often do you feel rested and refreshed upon waking up?,Rarely,2
How often do you feel rested and refreshed upon waking up?,Sometimes,5
How often do you feel rested and refreshed upon waking up?,Often,8
How often do you feel rested and refreshed upon waking up?,Always,10
How consistent is your sleep schedule?,Very inconsistent,1
How consistent is your sleep schedule?,Somewhat inconsistent,4
How consistent is your sleep schedule?,Consistent on weekdays only,6
How consistent is your sleep schedule?,Consistent on weekends only,4
How consistent is your sleep schedule?,Very consistent,10
Do you have a regular bedtime routine?,True,10
Do you have a regular bedtime routine?,False,0
Do you have a regular bedtime routine?,"Sometimes (e.g., weekdays only)",5
How would you rate the comfort of your sleep environment?,Very uncomfortable,2
How would you rate the comfort of your sleep environment?,Somewhat uncomfortable,4
How would you rate the comfort of your sleep environment?,Neutral,5
How would you rate the comfort of your sleep environment?,Somewhat comfortable,7
How would you rate the comfort of your sleep environment?,Very comfortable,10
How often do you experience Difficulty falling asleep?,Rarely,2
How often do you experience Difficulty falling asleep?,Occasionally,4
How often do you experience Difficulty falling asleep?,Frequently,7
How often do you experience Difficulty falling asleep?,Always,10
How often do you experience Difficulty staying asleep?,Rarely,2
How often do you experience Difficulty staying asleep?,Occasionally,4
How often do you experience Difficulty staying asleep?,Frequently,7
How often do you experience Difficulty staying asleep?,Always,10
How often do you experience Waking up too early?,Rarely,2
How often do you experience Waking up too early?,Occasionally,4
How often do you experience Waking up too early?,Frequently,7
How often do you experience Waking up too early?,Always,10
How often do you experience Frequent nightmares?,Rarely,2
How often do you experience Frequent nightmares?,Occasionally,4
How often do you experience Frequent nightmares?,Frequently,7
How often do you experience Frequent nightmares?,Always,10
How often do you experience Restless legs?,Rarely,2
How often do you experience Restless legs?,Occasionally,4
How often do you experience Restless legs?,Frequently,7
How often do you experience Restless legs?,Always,10
How often do you experience Snoring?,Rarely,2
How often do you experience Snoring?,Occasionally,4
How often do you experience Snoring?,Frequently,7
How often do you experience Snoring?,Always,10
How often do you experience Sleep apnea?,Rarely,2
How often do you experience Sleep apnea?,Occasionally,4
How often do you experience Sleep apnea?,Frequently,7
How often do you experience Sleep apnea?,Always,10
How often do you experience the other issue(s) you specified?,Rarely,2
How often do you experience the other issue(s) you specified?,Occasionally,4
How often do you experience the other issue(s) you specified?,Frequently,7
How often do you experience the other issue(s) you specified?,Always,10
Have you ever used a sleep tracking device or app to monitor your sleep?,True,10
Have you ever used a sleep tracking device or app to monitor your sleep?,False,0
Are you currently using a sleep tracking device or app to monitor your sleep?,True,10
Are you currently using a sleep tracking device or app to monitor your sleep?,False,0
"How would you rate your current cognitive function (e.g., memory, attention, problem-solving, etc.)?",Very poor,0
"How would you rate your current cognitive function (e.g., memory, attention, problem-solving, etc.)?",Poor,2
"How would you rate your current cognitive function (e.g., memory, attention, problem-solving, etc.)?",Fair,5
"How would you rate your current cognitive function (e.g., memory, attention, problem-solving, etc.)?",Good,8
"How would you rate your current cognitive function (e.g., memory, attention, problem-solving, etc.)?",Excellent,10
Do you have any concerns about your cognitive function?,True,2
Do you have any concerns about your cognitive function?,False,10
Have you experienced any changes in your cognitive function over the past year?,True,2
Have you experienced any changes in your cognitive function over the past year?,False,10
"How often do you engage in activities that challenge your brain (e.g., puzzles, reading, learning new skills, etc.)?",Daily,10
"How often do you engage in activities that challenge your brain (e.g., puzzles, reading, learning new skills, etc.)?",Several times a week,8
"How often do you engage in activities that challenge your brain (e.g., puzzles, reading, learning new skills, etc.)?",Weekly,6
"How often do you engage in activities that challenge your brain (e.g., puzzles, reading, learning new skills, etc.)?",Occasionally,3
"How often do you engage in activities that challenge your brain (e.g., puzzles, reading, learning new skills, etc.)?",Rarely,1
How would you rate your current level of stress?,No stress,10
How would you rate your current level of stress?,Low stress,8
How would you rate your current level of stress?,Moderate stress,5
How would you rate your current level of stress?,High stress,2
How would you rate your current level of stress?,Extreme stress,0
How would you rate your current level of stress?,Stress levels vary from low to moderate,4
How would you rate your current level of stress?,Stress levels vary from moderate to high,2
How often do you feel stressed?,Rarely,10
How often do you feel stressed?,Occasionally,7
How often do you feel stressed?,Frequently,3
How often do you feel stressed?,Always,1
Do you use any apps or wearables to help with stress management?,True,8
Do you use any apps or wearables to help with stress management?,False,2
How would you rate the quality of your current social relationships?,Very poor,0
How would you rate the quality of your current social relationships?,Poor,2
How would you rate the quality of your current social relationships?,Fair,5
How would you rate the quality of your current social relationships?,Good,8
How would you rate the quality of your current social relationships?,Excellent,10
How often do you interact with friends and/or family?,Daily,10
How often do you interact with friends and/or family?,Several times a week,8
How often do you interact with friends and/or family?,Weekly,6
How often do you interact with friends and/or family?,Several times a month,4
How often do you interact with friends and/or family?,Rarely,1
How satisfied are you with the amount of social interaction you have?,Extremely dissatisfied,0
How satisfied are you with the amount of social interaction you have?,Somewhat dissatisfied,3
How satisfied are you with the amount of social interaction you have?,Neither satisfied nor dissatisfied,5
How satisfied are you with the amount of social interaction you have?,Somewhat satisfied,8
How satisfied are you with the amount of social interaction you have?,Extremely satisfied,10
How would you describe your support network?,Very weak,0
How would you describe your support network?,Weak,3
How would you describe your support network?,Moderate,6
How would you describe your support network?,Strong,8
How would you describe your support network?,Very strong,10
Do you feel you have someone to talk to when you need support?,Always,10
Do you feel you have someone to talk to when you need support?,Usually,8
Do you feel you have someone to talk to when you need support?,Sometimes,5
Do you feel you have someone to talk to when you need support?,Rarely,2
Do you feel you have someone to talk to when you need support?,Never,0
How comfortable are you in social situations?,Extremely uncomfortable,0
How comfortable are you in social situations?,Somewhat uncomfortable,3
How comfortable are you in social situations?,Neither comfortable nor uncomfortable,5
How comfortable are you in social situations?,Somewhat comfortable,7
How comfortable are you in social situations?,Extremely comfortable,10
"How often do you use Tobacco (cigarettes, cigars, smokeless tobacco)?",Daily,0
"How often do you use Tobacco (cigarettes, cigars, smokeless tobacco)?",4–6 times a week,0
"How often do you use Tobacco (cigarettes, cigars, smokeless tobacco)?",2–3 times a week,1
"How often do you use Tobacco (cigarettes, cigars, smokeless tobacco)?",Once a week,2
"How often do you use Tobacco (cigarettes, cigars, smokeless tobacco)?",Monthly or less,6
How often do you consume Alcohol?,Daily,0
How often do you consume Alcohol?,4–6 times a week,0
How often do you consume Alcohol?,2–3 times a week,1
How often do you consume Alcohol?,Once a week,2
How often do you consume Alcohol?,Monthly or less,6
"How often do you use Recreational drugs (e.g., marijuana)?",Daily,0
"How often do you use Recreational drugs (e.g., marijuana)?",4–6 times a week,0
"How often do you use Recreational drugs (e.g., marijuana)?",2–3 times a week,1
"How often do you use Recreational drugs (e.g., marijuana)?",Once a week,2
"How often do you use Recreational drugs (e.g., marijuana)?",Monthly or less,6
How often do you use Nicotine?,Daily,0
How often do you use Nicotine?,4–6 times a week,0
How often do you use Nicotine?,2–3 times a week,1
How often do you use Nicotine?,Once a week,2
How often do you use Nicotine?,Monthly or less,6
"How often do you use Over-the-counter medications (e.g., sleep aids)?",Daily,0
"How often do you use Over-the-counter medications (e.g., sleep aids)?",4–6 times a week,0
"How often do you use Over-the-counter medications (e.g., sleep aids)?",2–3 times a week,1
"How often do you use Over-the-counter medications (e.g., sleep aids)?",Once a week,2
"How often do you use Over-the-counter medications (e.g., sleep aids)?",Monthly or less,6
How often do you use Other substances?,Daily,0
How often do you use Other substances?,4–6 times a week,0
How often do you use Other substances?,2–3 times a week,1
How often do you use Other substances?,Once a week,2
How often do you use Other substances?,Monthly or less,6
