ID,Title,level_description,scoring_config,updated (VS),Overview,metrics_types_v3,units_v3 (from metrics_types_v3),Needs_work,record_id
REC0007.2,Increase Vegetable Intake,"Include at least 1 serving of vegetables at every main meal (breakfast, lunch, dinner), with at least 2 different vegetable sources per day",,checked,"Regular vegetable intake supports metabolic health, cardiovascular resilience, and digestive function. Vegetables provide essential micronutrients, fiber, and phytonutrients linked to healthy aging, inflammation reduction, and chronic disease risk reduction.","dietary_vegetables,dietary_vegetable_sources","serving,sources",,recQnFBImbyfJswIb
REC0007.3,Increase Vegetable Intake,"Reach 5 or more servings of vegetables daily, with at least 3 different vegetable sources per day",,checked,"Regular vegetable intake supports metabolic health, cardiovascular resilience, and digestive function. Vegetables provide essential micronutrients, fiber, and phytonutrients linked to healthy aging, inflammation reduction, and chronic disease risk reduction.","dietary_vegetables,dietary_vegetable_sources","serving,sources",,recXOVlES2VKHKg1x
REC0008.1,Increase Fruit Intake,Include at least 2 servings of fruit throughout each day.,,checked,"Regular fruit intake provides essential vitamins, minerals, antioxidants, and fiber. Eating a variety of fruits supports metabolic health, immune function, healthy aging, and helps lower risk of chronic diseases.",dietary_fruits,serving,,recKokSledWI4bTMu
REC0008.2,Increase Fruit Intake,"Include at least 1 serving of fruit at every main meal (breakfast, lunch, dinner), with at least 2 different fruit sources per day",,checked,"Regular fruit intake provides essential vitamins, minerals, antioxidants, and fiber. Eating a variety of fruits supports metabolic health, immune function, healthy aging, and helps lower risk of chronic diseases.","dietary_fruits,dietary_fruit_sources","serving,sources",,recQ5dwrOfm4ecogb
REC0008.3,Increase Fruit Intake,"Reach 5 or more servings of fruit daily, with at least 3 different fruit sources per day",,checked,"Regular fruit intake provides essential vitamins, minerals, antioxidants, and fiber. Eating a variety of fruits supports metabolic health, immune function, healthy aging, and helps lower risk of chronic diseases.","dietary_fruits,dietary_fruit_sources","serving,sources",,recl0pPXLWaqoNCTF
REC0009.1,Reduce Added Sugar Intake,"Limit added sugar to one serving - any food or drink with about 8–12g of added sugar (e.g., 1 cookie, sweetened yogurt, granola bar, or can of soda). If the item is over 15g, count as 2 servings.) of food or drink with added sugar per day",,checked,"Added sugar contributes to metabolic dysfunction, inflammation, and increased chronic disease risk. Reducing daily added sugar improves energy, supports healthy weight, and protects long-term cardiometabolic health. For this recommendation, a serving is any food or drink with about 8–12g of added sugar (e.g., 1 cookie, sweetened yogurt, granola bar, or can of soda). If the item is over 15g, count as 2 servings.",dietary_added_sugar_servings,serving,,recGRU4MNdPXGpDIv
REC0009.2,Reduce Added Sugar Intake,"Limit added sugar to no more than two servings - any food or drink with about 8–12g of added sugar (e.g., 1 cookie, sweetened yogurt, granola bar, or can of soda) per week",,checked,"Added sugar contributes to metabolic dysfunction, inflammation, and increased chronic disease risk. Reducing daily added sugar improves energy, supports healthy weight, and protects long-term cardiometabolic health. For this recommendation, a serving is any food or drink with about 8–12g of added sugar (e.g., 1 cookie, sweetened yogurt, granola bar, or can of soda). If the item is over 15g, count as 2 servings.","dietary_added_sugar_servings,dietary_added_sugar","serving,gram",,rec8IQcWhQD6ZjQRU
REC0009.3,Reduce Added Sugar Intake,"Eliminate foods and drinks with added sugar entirely, except for rare/special occasions",,checked,"Added sugar contributes to metabolic dysfunction, inflammation, and increased chronic disease risk. Reducing daily added sugar improves energy, supports healthy weight, and protects long-term cardiometabolic health. For this recommendation, a serving is any food or drink with about 8–12g of added sugar (e.g., 1 cookie, sweetened yogurt, granola bar, or can of soda). If the item is over 15g, count as 2 servings.","dietary_added_sugar_servings,dietary_added_sugar","serving,gram",,recidHVe68DNlK5oI
REC0010.1,Reduce Processed Meat Intake,Limit processed meat to no more than 3 servings per week,,checked,"High intake of processed meats is linked to increased cancer, cardiovascular, and metabolic disease risk. Reducing processed meat supports longevity and promotes healthier eating.",dietary_processed_meat,serving,,recTO0FW3ErzMnNMi
REC0010.2,Reduce Processed Meat Intake,Limit processed meat to no more than one serving per week and aim for a diversity of unprocessed protein sources,,checked,"High intake of processed meats is linked to increased cancer, cardiovascular, and metabolic disease risk. Reducing processed meat supports longevity and promotes healthier eating.",dietary_processed_meat,serving,,recjAs2YIILpWO23R
REC0010.3,Reduce Processed Meat Intake,"Eliminate processed meat entirely, replacing with whole food protein sources",,checked,"High intake of processed meats is linked to increased cancer, cardiovascular, and metabolic disease risk. Reducing processed meat supports longevity and promotes healthier eating.",dietary_processed_meat,serving,,recutBXbia6z32Nqu
REC0011.1,Increase Whole Grain Intake,Include at least 2 servings of whole grains throughout each day.,,checked,"Whole grains are rich in fiber, vitamins, and minerals that support metabolic, digestive, and cardiovascular health. Regular intake is linked to longevity and reduced risk.",dietary_whole_grain_servings,serving,,recxJ5SGXwlKZi3Yx
REC0011.2,Increase Whole Grain Intake,"Include a serving of whole grains at every main meal (breakfast, lunch, dinner)",,checked,"Whole grains are rich in fiber, vitamins, and minerals that support metabolic, digestive, and cardiovascular health. Regular intake is linked to longevity and reduced risk.",dietary_whole_grain_servings,serving,,recHmnkVWvfAeVlkf
REC0011.3,Increase Whole Grain Intake,"Reach 3 or more servings of whole grains daily, with at least 2 different whole grain sources across the week",,checked,"Whole grains are rich in fiber, vitamins, and minerals that support metabolic, digestive, and cardiovascular health. Regular intake is linked to longevity and reduced risk.","dietary_whole_grain_servings,dietary_whole_grain_sources","serving,sources",,recMPjln8Ubt5yBiG
REC0012.1,Increase Legume Intake,Include at least 2 servings of legumes throughout each day.,,checked,"Legumes provide plant-based protein, fiber, and micronutrients that promote metabolic, digestive, and cardiovascular health. Regular intake supports longevity and gut health.",dietary_legume_servings,serving,,recrvCMVhlALtE7kK
REC0012.2,Increase Legume Intake,"Include one serving of legumes at 2 of 3 main meals (breakfast, lunch, dinner) or snacks each day, with at least 2 different legumes per week",,checked,"Legumes provide plant-based protein, fiber, and micronutrients that promote metabolic, digestive, and cardiovascular health. Regular intake supports longevity and gut health.","dietary_legume_servings,dietary_legume_sources","serving,sources",,recEQ5aKxt6Z10OEG
REC0012.3,Increase Legume Intake,"Reach 3 or more servings of legumes daily, with at least 3 different legume sources across the week",,checked,"Legumes provide plant-based protein, fiber, and micronutrients that promote metabolic, digestive, and cardiovascular health. Regular intake supports longevity and gut health.","dietary_legume_servings,dietary_legume_sources","serving,sources",,recocDwlTbpvWgVtb
REC0013.1,Reduce Caffeine Intake,Reduce caffeine intake to ≤400mg per day on at least 2 days per week,,checked,"High caffeine intake (over 400mg/day) can disrupt sleep, increase anxiety, and impact blood pressure. Reducing intake supports better sleep, energy, and cardiometabolic health. 1 regular cup of coffee ≈ 100mg, 1 espresso ≈ 60–80mg, 1 energy drink ≈ 80–120mg, 1 cup of tea ≈ 40mg.",dietary_caffeine_amount,milligram,,reczcZcT5i4xa0FPO
REC0013.2,Reduce Caffeine Intake,Reduce caffeine intake to ≤400mg per day on at least 5 days per week,,checked,"High caffeine intake (over 400mg/day) can disrupt sleep, increase anxiety, and impact blood pressure. Reducing intake supports better sleep, energy, and cardiometabolic health. 1 regular cup of coffee ≈ 100mg, 1 espresso ≈ 60–80mg, 1 energy drink ≈ 80–120mg, 1 cup of tea ≈ 40mg.",dietary_caffeine_amount,milligram,,reck6gezGPsFsMqCL
REC0013.3,Reduce Caffeine Intake,Reduce caffeine intake to ≤400mg per day on all 7 days of the week,,checked,"High caffeine intake (over 400mg/day) can disrupt sleep, increase anxiety, and impact blood pressure. Reducing intake supports better sleep, energy, and cardiometabolic health. 1 regular cup of coffee ≈ 100mg, 1 espresso ≈ 60–80mg, 1 energy drink ≈ 80–120mg, 1 cup of tea ≈ 40mg.",dietary_caffeine_amount,milligram,,recTHmxwBdnyG3SxJ
REC0014.1,Optimize Caffeine Source,"Swap one daily energy drink, pre-workout, or high-caffeine soda for coffee or tea",,checked,"Certain sources of caffeine—like energy drinks, pre-workout supplements, and high-caffeine sodas—are associated with greater cardiovascular, anxiety, and metabolic risk. Replacing these with coffee or tea provides a gentler, more stable source of caffeine, along with antioxidant and metabolic benefits.",caffeine_source,categorical,,recwsmDiDuZHvOZJj
REC0014.2,Optimize Caffeine Source,"Limit intake of energy drinks, pre-workout, and high-caffeine sodas to no more than once per week, using coffee or tea as your primary source of caffeine",,checked,"Certain sources of caffeine—like energy drinks, pre-workout supplements, and high-caffeine sodas—are associated with greater cardiovascular, anxiety, and metabolic risk. Replacing these with coffee or tea provides a gentler, more stable source of caffeine, along with antioxidant and metabolic benefits.",caffeine_source,categorical,,recBEo5BbQG1LbzWG
REC0014.3,Optimize Caffeine Source,"Eliminate energy drinks, pre-workout supplements, and high-caffeine sodas entirely—choose only coffee or tea for caffeine",,checked,"Certain sources of caffeine—like energy drinks, pre-workout supplements, and high-caffeine sodas—are associated with greater cardiovascular, anxiety, and metabolic risk. Replacing these with coffee or tea provides a gentler, more stable source of caffeine, along with antioxidant and metabolic benefits.",caffeine_source,categorical,,recvyYza5pv1TGKLP
REC0015.1,Optimize Caffeine Timing,Finish all caffeinated beverages by 2pm on at least 2 days per week,,checked,"Consuming caffeine late in the day can disrupt sleep, delay circadian rhythms, and reduce sleep quality. To support optimal sleep and energy, finish all coffee, tea, energy drinks, and other sources of caffeine by 2pm.",last_caffeine_time,timestamp,,recVC73ovc4Syfdxd
REC0015.2,Optimize Caffeine Timing,Finish all caffeinated beverages by 2pm on at least 5 days per week,,checked,"Consuming caffeine late in the day can disrupt sleep, delay circadian rhythms, and reduce sleep quality. To support optimal sleep and energy, finish all coffee, tea, energy drinks, and other sources of caffeine by 2pm.",last_caffeine_time,timestamp,,recG1S3EdZ536zea7
REC0015.3,Optimize Caffeine Timing,Finish all caffeinated beverages by 2pm every day of the week,,checked,"Consuming caffeine late in the day can disrupt sleep, delay circadian rhythms, and reduce sleep quality. To support optimal sleep and energy, finish all coffee, tea, energy drinks, and other sources of caffeine by 2pm.",last_caffeine_time,timestamp,,recXaTo88ufwRW39g
REC0016.1,Daily Meal Frequency,Eat at least 2 meals per day every day of the week,,checked,"Regular meal frequency supports stable energy, muscle maintenance, metabolic health, and balanced nutrient intake. Eating too few meals can increase fatigue and undernutrition risk.",daily_meals_count,meal,,rechfHe4UeeCUja1n
REC0016.2,Daily Meal Frequency,Eat at least 3 meals per day on at least 5 days per week,,checked,"Regular meal frequency supports stable energy, muscle maintenance, metabolic health, and balanced nutrient intake. Eating too few meals can increase fatigue and undernutrition risk.",daily_meals_count,meal,,recyo7UyrZuNO5spU
REC0016.3,Daily Meal Frequency,"Eat 3 or more meals per day every day of the week, with at least 1 healthy snack",,checked,"Regular meal frequency supports stable energy, muscle maintenance, metabolic health, and balanced nutrient intake. Eating too few meals can increase fatigue and undernutrition risk.","daily_meals_count,daily_snacks_count","meal,snack",,rec1pZRqnJsEPgjdK
REC0017.1,Time Restricted Eating,"On at least 2 days per week, keep all eating within a 10-hour window (e.g., finish dinner by 7pm, eat breakfast after 9am)",,checked,"Intermittent fasting with a daily eating window of 10 hours or less (14+ hours fasting) may support metabolic health, weight management, and circadian rhythms.","first_meal_time,last_meal_time","timestamp,timestamp",,rec1J3jFsVfW3V9Xb
REC0017.2,Time Restricted Eating,"On at least 5 days per week, keep all eating within an 8-hour window (e.g., first meal at 10am, last meal by 6pm)",,checked,"Intermittent fasting with a daily eating window of 10 hours or less (14+ hours fasting) may support metabolic health, weight management, and circadian rhythms.","first_meal_time,last_meal_time","timestamp,timestamp",,rec7uKzibhvOoWo4b
REC0017.3,Time Restricted Eating,"Every day of the week, keep all eating within an 8-hour window (e.g., first meal at 10am, last meal by 6pm)",,checked,"Intermittent fasting with a daily eating window of 10 hours or less (14+ hours fasting) may support metabolic health, weight management, and circadian rhythms.","first_meal_time,last_meal_time","timestamp,timestamp",,recQ3pTTvENbpI2mh
REC0018.1,First Meal Timing,Eat your first meal of the day within 2 hours of waking at least 3 times a week,,checked,"Aligning the timing of your first meal with your natural circadian rhythm may improve metabolic health, energy levels, and blood sugar control. ",first_meal_time,timestamp,,recYoFXNhHErfamJh
REC0018.2,First Meal Timing,Eat your first meal of the day within 2 hours after waking on at least 5 days per week,,checked,"Aligning the timing of your first meal with your natural circadian rhythm may improve metabolic health, energy levels, and blood sugar control. ",first_meal_time,timestamp,,recnRyEUhjUeoUchl
REC0018.3,First Meal Timing,Eat your first meal of the day within 2 hours after waking every day of the week,,checked,"Aligning the timing of your first meal with your natural circadian rhythm may improve metabolic health, energy levels, and blood sugar control. ",first_meal_time,timestamp,,recmdRVGzVZWVywBI
REC0019.1,Final Meal Timing,Finish your final meal at least 2 hours before bedtime on at least 2 days per week,,checked,"Eating your final meal well before bedtime supports digestion, sleep quality, and circadian health. Early final meal timing may improve blood sugar, fat metabolism, and reduce nighttime reflux or discomfort.",last_meal_time,timestamp,,recis6ZIrpUjVVGQq
REC0019.2,Final Meal Timing,Finish your final meal at least 3 hours before bedtime on at least 5 days per week,,checked,"Eating your final meal well before bedtime supports digestion, sleep quality, and circadian health. Early final meal timing may improve blood sugar, fat metabolism, and reduce nighttime reflux or discomfort.",last_meal_time,timestamp,,rec7j9tyH4EV9L9yd
REC0019.3,Final Meal Timing,Finish your final meal at least 3 hours before bedtime every day of the week,,checked,"Eating your final meal well before bedtime supports digestion, sleep quality, and circadian health. Early final meal timing may improve blood sugar, fat metabolism, and reduce nighttime reflux or discomfort.",last_meal_time,timestamp,,recaHXUIQkCQZUyup
REC0020.1,Daily Water Intake,Drink at least 6 cups (about 1.5 liters) of water per day on at least 2 days per week,,checked,"Adequate hydration supports energy, metabolism, brain function, and healthy skin. Drinking enough water daily can improve mood, cognition, and overall well-being.",dietary_water,milliliter,,recFt7zPcfCjkM46a
REC0020.2,Daily Water Intake,Drink at least 8 cups (about 2 liters) of water per day on at least 5 days per week,,checked,"Adequate hydration supports energy, metabolism, brain function, and healthy skin. Drinking enough water daily can improve mood, cognition, and overall well-being.",dietary_water,milliliter,,rechlGvvxCYsaTIET
REC0020.3,Daily Water Intake,Drink at least 10 cups (about 2.5 liters) of water per day every day of the week,,checked,"Adequate hydration supports energy, metabolism, brain function, and healthy skin. Drinking enough water daily can improve mood, cognition, and overall well-being.",dietary_water,milliliter,,recYicOSoH1C4zLvj
REC0021.1,Daily Whole Food Meals,"Make at least 1 meal per day a whole-food meal (unprocessed/minimally processed ingredients), 2+ days/week",,checked,"Emphasizing whole, minimally processed foods at meals supports metabolic health, lowers inflammation, and improves gut health and satiety.",daily_whole_food_meals,meal,,recm7NxBHBB2fClE6
REC0021.2,Daily Whole Food Meals,"Make at least 2 meals per day whole-food meals, at least 5 days per week",,checked,"Emphasizing whole, minimally processed foods at meals supports metabolic health, lowers inflammation, and improves gut health and satiety.",daily_whole_food_meals,meal,,recMfs72SD4T9XIhS
REC0021.3,Daily Whole Food Meals,"Make all meals whole-food based, at least 5 days per week",,checked,"Emphasizing whole, minimally processed foods at meals supports metabolic health, lowers inflammation, and improves gut health and satiety.",daily_whole_food_meals,meal,,recBPC6hC5tkxmXSH
REC0022.1,Daily Ultra-Processed Foods,"Limit ultra-processed foods to 1 serving per day or less, on at least 2 days per week",,checked,"Ultra-processed foods (e.g., packaged snacks, sweetened beverages, fast food) increase risk for metabolic disease and inflammation. Reducing intake supports long-term health.",dietary_ultraprocessed_meals,meal,,rec15XA9JXP4kxzzm
REC0022.2,Daily Ultra-Processed Foods,"Limit ultra-processed foods to 1 serving per day or less, on at least 5 days per week",,checked,"Ultra-processed foods (e.g., packaged snacks, sweetened beverages, fast food) increase risk for metabolic disease and inflammation. Reducing intake supports long-term health.",dietary_ultraprocessed_meals,meal,,recG7gyGMLSfyNTqk
REC0022.3,Daily Ultra-Processed Foods,"Eliminate ultra-processed foods entirely, every day of the week",,checked,"Ultra-processed foods (e.g., packaged snacks, sweetened beverages, fast food) increase risk for metabolic disease and inflammation. Reducing intake supports long-term health.",dietary_ultraprocessed_meals,meal,,recDd6IqU5EonfaVX
REC0023.1,Daily Takeout/Delivery Meals,Limit takeout or delivery meals to 1 meal per week or less,,checked,"Regular takeout or delivery meals, especially from fast food or chain restaurants, are often higher in calories, sodium, and unhealthy fats. Reducing takeout improves dietary quality and supports health.",dietary_takeout_meals,meal,,recu7lpiR2ASpH5ox
REC0023.2,Daily Takeout/Delivery Meals,Limit takeout or delivery meals to 1 meal per month or less,,checked,"Regular takeout or delivery meals, especially from fast food or chain restaurants, are often higher in calories, sodium, and unhealthy fats. Reducing takeout improves dietary quality and supports health.",dietary_takeout_meals,meal,,recHqynf62exp8cDx
REC0023.3,Daily Takeout/Delivery Meals,Eliminate takeout outside of rare/special occasions   ,,checked,"Regular takeout or delivery meals, especially from fast food or chain restaurants, are often higher in calories, sodium, and unhealthy fats. Reducing takeout improves dietary quality and supports health.",dietary_takeout_meals,meal,,rec2NKnDuis64uMrk
REC0024.1,Daily Plant-Based Meals,"Make at least 1 meal per day plant-based, on at least 2 days per week",,,"Plant-based meals support cardiovascular, metabolic, and gut health by increasing fiber, phytonutrients, and healthy fats while lowering inflammation.",dietary_plant_meals,meal,,recYLv4hF464Kesqm
REC0024.2,Daily Plant-Based Meals,"Make at least 1 meal per day plant-based, on at least 5 days per week",,,"Plant-based meals support cardiovascular, metabolic, and gut health by increasing fiber, phytonutrients, and healthy fats while lowering inflammation.",dietary_plant_meals,meal,,rec0adRBithZ3BNoZ
REC0024.3,Daily Plant-Based Meals,"Make at least 2 meals per day plant-based, every day of the week",,,"Plant-based meals support cardiovascular, metabolic, and gut health by increasing fiber, phytonutrients, and healthy fats while lowering inflammation.",dietary_plant_meals,meal,,recKhWFKEYKSFcikb
REC0025.1,Zone 2 Cardio Sessions,"Complete at least 2 Zone 2 cardio sessions per week, any duration",,,"Zone 2 cardio—sustained, moderate-intensity aerobic activity—improves metabolic, mitochondrial, and cardiovascular health.",zone2_cardio_sessions,session,,recQgWg7fhQjwfIPx
REC0025.2,Zone 2 Cardio Sessions,"Complete at least 3 Zone 2 cardio sessions per week, any duration",,,"Zone 2 cardio—sustained, moderate-intensity aerobic activity—improves metabolic, mitochondrial, and cardiovascular health.",zone2_cardio_sessions,session,,recqKvugcEkV4FDmK
